DEBUG:root:Connection Successful at Sat Sep  2 11:37:35 2017
DEBUG:root:Reading at (11:37:36)
DEBUG:root:Started Get Info Timer at (11:37:36)
DEBUG:root:bwire_Broken at Sat Sep  2 11:37:37 2017
DEBUG:root:bwire_status of Broken at Sat Sep  2 11:37:37 2017
DEBUG:root:main_Closed at Sat Sep  2 11:37:37 2017
DEBUG:root:main_status of Closed at Sat Sep  2 11:37:37 2017
DEBUG:root:lox_Closed at Sat Sep  2 11:37:37 2017
DEBUG:root:lox_status of Closed at Sat Sep  2 11:37:37 2017
DEBUG:root:kero_Closed at Sat Sep  2 11:38:44 2017
DEBUG:root:kero_status of Closed at Sat Sep  2 11:38:44 2017
DEBUG:root:kero_Open at Sat Sep  2 11:38:48 2017
DEBUG:root:kero_status of Open at Sat Sep  2 11:38:48 2017
DEBUG:root:kero_Closed at Sat Sep  2 11:42:13 2017
DEBUG:root:kero_status of Closed at Sat Sep  2 11:42:13 2017
DEBUG:root:kero_Open at Sat Sep  2 11:42:15 2017
DEBUG:root:kero_status of Open at Sat Sep  2 11:42:15 2017
DEBUG:root:kero_Closed at Sat Sep  2 11:42:24 2017
DEBUG:root:kero_status of Closed at Sat Sep  2 11:42:24 2017
DEBUG:root:kero_Open at Sat Sep  2 11:42:26 2017
DEBUG:root:kero_status of Open at Sat Sep  2 11:42:26 2017
